Longitude,Latitude,Value
0.8,103.66,26.52310283
0.8,36.16,16.08139511
10.45,107.18,27.19398357
12.05,77.26,21.80303251
12.05,8.22,26.1405369
13.66,38.81,24.65697137
13.66,80.09,28.41785845
13.66,99.91,27.1647333
15.27,120.83,26.44833449
15.27,17.5,24.6275203
15.27,32.5,29.08129129
15.27,47.5,21.72759494
16.87,78.7,26.86933493
16.87,95.44,26.73519273
18.48,30.42,20.20784201
18.48,69.3,25.97677662
18.48,72.68,26.63145215
18.48,74.37,24.64461523
2.41,45.8,27.15196367
20.09,44.36,21.07139647
20.09,98.96,15.71742238
21.7,38.94,27.69206602
21.7,73.56,26.33085646
21.7,78.75,25.65501635
23.31,112.72,21.60868426
23.31,42.82,23.78891555
23.31,46.31,19.69936784
23.31,72.52,26.52985294
23.31,88.25,26.04215205
23.31,90,25.49056793
24.92,122.36,22.21244085
24.92,46.11,25.26333018
24.92,67.39,26.01725904
26.52,75.22,25.39305794
26.52,80.6,24.76004078
28.13,77.27,25.1658609
29.74,107.08,16.84496207
29.74,114.46,16.83094402
29.74,31.38,20.98010952
31.35,103.66,10.63804214
31.35,118.74,15.60205212
31.35,120.63,15.96951158
31.35,30.16,20.31261703
31.35,73.51,24.13839654
32.95,18.19,16.07907955
32.95,45,22.61434569
32.95,6.7,17.18415786
32.95,69.89,5.692276842
34.56,108.97,11.4871477
34.56,118.7,15.87803844
34.56,136.22,14.7550665
34.56,151.78,17.00229889
34.56,70.05,14.34291891
36.17,117.35,13.08981382
36.17,139.23,12.55599752
36.17,37.79,17.37058733
36.17,59.67,12.57199211
37.78,111.86,7.976806145
37.78,113.9,11.57937336
37.78,126.1,10.68188454
37.78,144.41,13.37430382
37.78,26.44,17.27806458
39.38,116.53,11.80938325
39.38,120.69,10.22907681
39.38,33.29,10.39211715
4.02,15.27,23.86644092
4.02,40.98,27.00863954
4.02,74.73,20.00226462
4.02,76.34,21.7970272
40.99,123.55,7.214979991
40.99,29.82,13.50740903
40.99,4.26,11.44870404
40.99,74.56,9.523295608
42.59,13.09,11.9655019
42.59,87.27,10.07064374
44.2,125.22,4.923797927
44.2,80.5,5.773911175
45.81,125.77,3.625744066
45.81,72.69,4.44501369
49.03,2.45,10.40264435
5.63,106.55,26.50820969
5.63,3.23,26.36375134
50.63,31.69,7.041032849
52.24,0,9.459037903
52.24,13.14,8.916233733
55.45,36.85,3.999710676
60.27,29.19,3.918044536
7.23,112.7,26.8099042
7.23,39.73,25.7446715
7.23,4.05,26.37310517
8.84,13.78,23.69304553
8.84,38.11,17.52507266
